b,c,k,A
-8.5,10.0,2,"((0, 0), (0, 1), (1, 1), (3, 0), (5, 2))"
-536.0,2102.0,17,"((0, 0), (2, 1), (3, 2), (3, 6), (17, 6))"
-64.5,102.0,8,"((0, 0), (1, 0), (2, 1), (11, 2), (11, 4))"
-614.5,2745.0,14,"((0, 2), (1, 0), (1, 1), (9, 1), (9, 9))"
-34.0,55.0,6,"((0, 0), (1, 1), (1, 4), (2, 1), (5, 3))"
-22.5,35.0,4,"((0, 0), (1, 0), (1, 1), (1, 5), (3, 0))"
-2.5,1.0,3,"((0, 1), (0, 3), (1, 0), (1, 1), (2, 4))"
-13.5,17.0,3,"((0, 0), (1, 0), (1, 1), (2, 4), (4, 3))"
-42.5,73.0,5,"((0, 0), (0, 1), (1, 1), (1, 5), (5, 5))"
-9.0,7.0,4,"((0, 1), (1, 0), (1, 1), (3, 4), (5, 5))"
-26.5,39.0,4,"((0, 0), (0, 4), (1, 0), (1, 1), (3, 5))"
-723.0,3247.0,19,"((0, 0), (3, 2), (5, 3), (12, 11), (21, 26))"
-1610.5,13701.0,26,"((0, 0), (1, 1), (3, 2), (11, 17), (12, 7))"
-2226.0,15561.0,23,"((0, 3), (1, 2), (1, 12), (2, 0), (16, 7))"
-36.0,-554.0,22,"((0, 2), (1, 0), (1, 1), (10, 6), (11, 7))"
-280.0,952.0,11,"((0, 0), (1, 1), (2, 1), (7, 7), (10, 2))"
-4.5,6.0,2,"((0, 0), (1, 0), (1, 1), (3, 3), (3, 5))"
-138.0,451.0,9,"((0, 0), (1, 1), (2, 1), (4, 1), (4, 9))"
-286.0,1157.0,12,"((0, 0), (1, 0), (1, 10), (2, 1), (5, 4))"
-6845.0,95258.0,83,"((0, 0), (5, 3), (8, 5), (9, 6), (25, 44))"
-38.0,31.0,8,"((0, 0), (1, 1), (2, 1), (8, 6), (9, 9))"
2.5,1.0,1,"((0, 1), (0, 2), (1, 0), (1, 1), (2, 0))"
-10.0,15.0,3,"((0, 0), (1, 0), (1, 1), (1, 5), (2, 1))"
1.0,-5.0,3,"((0, 1), (0, 4), (1, 0), (1, 1), (1, 5))"
0.5,0.0,2,"((0, 0), (1, 1), (2, 1), (5, 3), (5, 4))"
-57.0,75.0,8,"((0, 1), (0, 2), (1, 0), (5, 1), (6, 4))"
4.0,-9.0,3,"((0, 0), (0, 1), (1, 0), (1, 1), (5, 1))"
-14.5,19.0,3,"((0, 0), (0, 4), (1, 0), (1, 1), (3, 1))"
-648.0,2892.0,17,"((0, 1), (0, 2), (1, 0), (9, 1), (11, 9))"
-26.5,39.0,4,"((0, 0), (0, 3), (1, 0), (1, 1), (4, 5))"
-163.0,436.0,10,"((0, 0), (0, 6), (1, 1), (2, 1), (7, 0))"
-22.5,35.0,4,"((0, 0), (0, 1), (1, 0), (5, 0), (5, 2))"
-22.0,29.0,3,"((0, 0), (0, 1), (1, 1), (2, 5), (4, 3))"
-12.0,16.0,3,"((0, 1), (1, 0), (1, 1), (2, 4), (3, 1))"
-154.0,651.0,12,"((0, 3), (1, 2), (2, 0), (2, 1), (2, 14))"
-39.0,-407.0,16,"((0, 0), (1, 1), (3, 2), (4, 3), (9, 12))"
-1.5,3.0,1,"((0, 0), (1, 0), (1, 1), (4, 2), (4, 3))"
-5.5,-1.0,4,"((0, 0), (0, 1), (1, 0), (2, 1), (3, 5))"
-10.0,-73.0,10,"((0, 0), (1, 1), (2, 1), (4, 3), (10, 11))"
-187.5,465.0,13,"((0, 2), (1, 0), (1, 1), (5, 7), (9, 6))"
-3119.5,24830.0,28,"((0, 0), (1, 16), (2, 1), (3, 2), (15, 15))"
-26.5,39.0,4,"((0, 0), (0, 1), (1, 1), (2, 5), (5, 5))"
0.0,2.0,1,"((0, 0), (0, 1), (1, 1), (2, 1), (4, 3))"
-8.5,10.0,2,"((0, 0), (0, 1), (0, 4), (1, 0), (2, 3))"
-501.0,2084.0,15,"((0, 0), (1, 0), (2, 1), (2, 8), (11, 11))"
-512.5,2080.0,15,"((0, 0), (1, 1), (2, 1), (7, 9), (9, 0))"
-70.0,205.0,8,"((0, 1), (0, 2), (0, 3), (1, 0), (6, 3))"
-450.5,1845.0,18,"((0, 0), (1, 1), (3, 2), (13, 9), (17, 17))"
-90.0,205.0,7,"((0, 0), (1, 0), (2, 1), (5, 0), (11, 6))"
-22.5,41.0,4,"((0, 0), (0, 1), (1, 0), (2, 0), (5, 4))"
-167.0,270.0,17,"((0, 2), (1, 0), (1, 1), (6, 9), (8, 8))"
2.0,-1.0,2,"((0, 1), (1, 0), (1, 1), (2, 3), (3, 4))"
-38.0,-49.0,10,"((0, 0), (1, 1), (2, 0), (2, 1), (5, 11))"
-6.5,9.0,2,"((0, 0), (1, 0), (1, 1), (5, 4), (5, 5))"
-362.5,1345.0,12,"((0, 1), (0, 2), (1, 0), (2, 8), (8, 2))"
1.5,-3.0,3,"((0, 0), (1, 0), (1, 1), (3, 2), (5, 5))"
-228.0,642.0,12,"((0, 1), (0, 2), (1, 0), (4, 6), (9, 3))"
-70.0,147.0,6,"((0, 0), (1, 1), (3, 2), (4, 5), (10, 6))"
-43.5,76.0,5,"((0, 0), (0, 5), (1, 0), (1, 1), (4, 1))"
-6.5,9.0,2,"((0, 0), (0, 1), (1, 1), (4, 5), (5, 5))"
-19.5,26.0,3,"((0, 0), (0, 1), (0, 4), (1, 0), (3, 3))"
-220.5,686.0,10,"((0, 0), (1, 1), (2, 1), (7, 7), (8, 1))"
0.0,2.0,1,"((0, 0), (1, 0), (1, 1), (2, 2), (5, 4))"
-56.5,92.0,7,"((0, 0), (1, 1), (3, 2), (12, 10), (13, 9))"
-8.5,10.0,2,"((0, 0), (0, 1), (1, 0), (3, 0), (5, 2))"
0.0,2.0,1,"((0, 0), (1, 0), (1, 1), (2, 2), (3, 5))"
-411.0,1641.0,15,"((0, 0), (1, 1), (2, 1), (9, 11), (11, 6))"
-90.0,205.0,7,"((0, 0), (0, 1), (1, 0), (5, 0), (5, 5))"
-1540.0,11060.0,23,"((0, 0), (0, 10), (2, 1), (3, 2), (14, 7))"
-64.0,120.0,5,"((0, 2), (1, 0), (1, 1), (3, 6), (4, 1))"
-34.0,-93.0,12,"((0, 2), (1, 0), (1, 1), (4, 8), (5, 8))"
-4.0,6.0,2,"((0, 0), (1, 0), (1, 1), (2, 2), (5, 2))"
-11.5,10.0,4,"((0, 0), (1, 0), (1, 1), (4, 3), (5, 1))"
-0.5,2.0,1,"((0, 0), (0, 1), (1, 1), (1, 3), (2, 0))"
-6.5,9.0,2,"((0, 0), (0, 1), (1, 0), (1, 1), (5, 4))"
0.0,2.0,1,"((0, 1), (0, 3), (1, 0), (1, 1), (2, 1))"
-40.0,70.0,5,"((0, 0), (1, 0), (1, 1), (4, 4), (5, 0))"
-302.5,1037.0,11,"((0, 0), (1, 1), (1, 6), (2, 1), (10, 1))"
3.5,-3.0,2,"((0, 0), (0, 1), (1, 0), (1, 1), (4, 1))"
-21.0,24.0,5,"((0, 0), (0, 3), (1, 0), (1, 1), (5, 1))"
-1.5,3.0,1,"((0, 0), (1, 0), (1, 1), (4, 0), (4, 1))"
-6.5,9.0,2,"((0, 0), (0, 1), (0, 2), (1, 0), (2, 5))"
-324.0,1290.0,17,"((0, 0), (1, 1), (2, 1), (2, 10), (6, 4))"
-164.5,464.0,8,"((0, 0), (1, 0), (2, 1), (8, 5), (11, 2))"
-801.5,4529.0,30,"((0, 5), (1, 3), (3, 0), (5, 7), (12, 5))"
-82.5,177.0,6,"((0, 1), (0, 5), (1, 0), (1, 1), (5, 5))"
-337.5,1279.0,16,"((0, 0), (1, 0), (1, 9), (2, 1), (6, 10))"
-14.0,5.0,6,"((0, 0), (1, 1), (1, 6), (2, 1), (2, 4))"
-4.5,6.0,2,"((0, 0), (0, 3), (1, 0), (1, 1), (3, 0))"
-40.0,70.0,5,"((0, 0), (1, 0), (1, 1), (1, 5), (4, 3))"
-10.0,15.0,3,"((0, 0), (0, 1), (1, 0), (1, 1), (5, 5))"
-2.5,1.0,3,"((0, 0), (0, 1), (1, 0), (2, 2), (4, 5))"
-0.5,2.0,1,"((0, 0), (0, 1), (1, 1), (2, 3), (3, 2))"
-12.0,16.0,3,"((0, 1), (1, 0), (1, 1), (1, 3), (4, 5))"
-6.0,7.0,2,"((0, 0), (1, 0), (1, 1), (4, 0), (4, 2))"
-12.0,16.0,3,"((0, 1), (1, 0), (1, 1), (3, 3), (4, 1))"
-30.5,51.0,4,"((0, 0), (1, 1), (3, 2), (6, 2), (8, 5))"
-1.5,3.0,1,"((0, 0), (1, 0), (1, 1), (2, 2), (5, 3))"
-396.0,1606.0,13,"((0, 0), (1, 1), (1, 11), (2, 1), (6, 6))"
2.0,1.0,1,"((0, 0), (1, 0), (1, 1), (1, 2), (2, 1))"
1.5,1.0,1,"((0, 0), (1, 0), (1, 1), (3, 1), (3, 2))"
-1500.0,9500.0,21,"((0, 0), (1, 1), (2, 12), (3, 2), (13, 3))"
-772.0,3930.0,18,"((0, 0), (1, 0), (2, 1), (4, 10), (11, 4))"
1.5,-223.0,13,"((0, 0), (1, 1), (3, 2), (7, 0), (8, 0))"
-250.0,875.0,11,"((0, 0), (1, 0), (2, 1), (4, 10), (5, 0))"
-2610.0,20185.0,25,"((0, 0), (2, 1), (2, 14), (3, 2), (16, 7))"
-4.5,6.0,2,"((0, 0), (0, 1), (0, 3), (1, 1), (3, 3))"
-26.0,27.0,6,"((0, 0), (1, 0), (1, 8), (2, 1), (2, 3))"
-180.0,512.0,9,"((0, 0), (1, 1), (3, 2), (5, 1), (13, 11))"
-7350.5,99769.0,46,"((0, 0), (2, 26), (3, 2), (5, 3), (13, 16))"
-356.0,1440.0,14,"((0, 0), (1, 0), (2, 1), (3, 11), (7, 11))"
-34.5,55.0,4,"((0, 0), (1, 0), (1, 1), (2, 4), (5, 1))"
-22.5,1.0,7,"((0, 0), (1, 0), (2, 1), (5, 2), (10, 1))"
3.5,-3.0,2,"((0, 0), (0, 1), (1, 0), (1, 1), (1, 4))"
-2.5,1.0,3,"((0, 0), (1, 1), (2, 1), (5, 1), (10, 1))"
-30.5,51.0,4,"((0, 1), (1, 0), (1, 1), (2, 5), (4, 4))"
1.5,1.0,1,"((0, 0), (1, 0), (1, 1), (2, 2), (4, 3))"
-682.0,3181.0,15,"((0, 0), (1, 1), (2, 1), (8, 11), (10, 2))"
-24.0,36.0,4,"((0, 0), (1, 0), (1, 1), (2, 4), (5, 4))"
-26.0,41.0,4,"((0, 0), (2, 1), (3, 0), (3, 2), (8, 1))"
0.0,2.0,1,"((0, 0), (1, 0), (1, 1), (1, 3), (2, 3))"
-5.5,-1.0,4,"((0, 0), (0, 1), (1, 0), (1, 2), (5, 3))"
-360.0,1490.0,13,"((0, 0), (1, 0), (2, 1), (3, 10), (7, 5))"
-13.5,21.0,3,"((0, 0), (1, 1), (2, 1), (4, 5), (7, 9))"
-22.5,35.0,4,"((0, 0), (0, 5), (1, 0), (1, 1), (3, 0))"
-15237.0,310430.0,70,"((0, 5), (0, 27), (1, 3), (3, 0), (16, 22))"
-4.0,6.0,2,"((0, 0), (1, 0), (1, 1), (2, 0), (3, 4))"
-397.5,1452.0,26,"((0, 2), (1, 0), (1, 1), (11, 8), (11, 11))"
-40.0,70.0,5,"((0, 0), (0, 1), (0, 4), (1, 1), (5, 2))"
-6.0,7.0,2,"((0, 0), (0, 1), (1, 1), (2, 4), (4, 4))"
4.0,-9.0,3,"((0, 0), (0, 1), (0, 5), (1, 0), (1, 1))"
-12.0,16.0,3,"((0, 0), (0, 1), (1, 1), (2, 4), (3, 1))"
-62.5,125.0,6,"((0, 0), (1, 0), (1, 1), (1, 5), (5, 4))"
2.0,-1.0,2,"((0, 0), (0, 2), (1, 0), (1, 1), (1, 4))"
-55.5,-8.0,10,"((0, 1), (0, 2), (1, 0), (4, 3), (7, 8))"
-50.5,89.0,5,"((0, 0), (0, 4), (1, 0), (1, 1), (5, 3))"
-760.5,3876.0,16,"((0, 0), (1, 1), (2, 1), (6, 11), (11, 4))"
-36.5,50.0,7,"((0, 0), (1, 1), (2, 1), (4, 6), (7, 8))"
-19.5,26.0,3,"((0, 0), (0, 1), (1, 1), (1, 4), (4, 2))"
-4.5,-6.0,5,"((0, 0), (0, 1), (1, 0), (2, 1), (9, 2))"
-26.0,41.0,4,"((0, 0), (0, 1), (1, 0), (1, 5), (3, 5))"
-0.5,2.0,1,"((0, 0), (1, 0), (1, 1), (3, 3), (5, 4))"
-142.0,379.0,8,"((0, 0), (0, 5), (1, 1), (2, 1), (7, 5))"
-24.0,36.0,4,"((0, 0), (0, 1), (1, 1), (4, 1), (5, 4))"
-62.5,125.0,6,"((0, 0), (0, 1), (0, 5), (1, 1), (5, 1))"
3.5,-3.0,2,"((0, 0), (1, 0), (1, 1), (2, 1), (5, 4))"
-4.5,6.0,2,"((0, 1), (1, 0), (1, 1), (1, 3), (3, 1))"
-22.5,35.0,4,"((0, 0), (0, 1), (1, 1), (5, 3), (5, 5))"
-324.5,1103.0,14,"((0, 1), (0, 2), (1, 0), (2, 11), (6, 8))"
-3.0,3.0,3,"((0, 0), (0, 1), (1, 0), (1, 1), (5, 3))"
-8.5,10.0,2,"((0, 0), (1, 0), (1, 1), (2, 3), (5, 4))"
-2.0,3.0,1,"((0, 0), (0, 2), (1, 0), (1, 1), (3, 2))"
2.0,1.0,1,"((0, 0), (1, 0), (1, 1), (2, 0), (2, 2))"
-30.5,34.0,6,"((0, 0), (1, 0), (2, 1), (4, 7), (5, 6))"
-40.0,70.0,5,"((0, 0), (0, 1), (1, 1), (2, 5), (4, 1))"
-1.5,3.0,1,"((0, 0), (0, 1), (1, 0), (2, 0), (3, 2))"
-22.5,41.0,4,"((0, 0), (1, 0), (2, 1), (2, 4), (4, 5))"
-8.5,10.0,2,"((0, 0), (0, 1), (1, 1), (2, 5), (3, 3))"
-193.5,911.0,13,"((0, 0), (1, 1), (3, 2), (9, 1), (12, 3))"
-40.0,70.0,5,"((0, 1), (1, 0), (1, 1), (1, 5), (4, 0))"
-38.5,51.0,7,"((0, 1), (0, 2), (1, 0), (2, 2), (10, 2))"
-36.0,66.0,5,"((0, 2), (1, 0), (1, 1), (1, 3), (6, 0))"
-12.0,16.0,3,"((0, 0), (1, 0), (1, 1), (3, 0), (4, 4))"
-10.0,15.0,3,"((0, 0), (1, 0), (1, 1), (2, 2), (5, 0))"
-34.5,55.0,4,"((0, 0), (0, 3), (1, 0), (1, 1), (5, 4))"
-42.5,73.0,5,"((0, 1), (0, 5), (1, 0), (1, 1), (4, 2))"
-162.0,431.0,8,"((0, 0), (1, 1), (2, 4), (3, 2), (14, 14))"
-14.5,19.0,3,"((0, 0), (1, 0), (1, 1), (5, 1), (5, 3))"
-60.0,122.0,6,"((0, 0), (1, 1), (3, 2), (6, 6), (9, 12))"
-338.0,1401.0,20,"((0, 1), (0, 2), (1, 0), (8, 7), (9, 4))"
-30.0,45.0,4,"((0, 0), (1, 0), (2, 1), (7, 5), (10, 9))"
4.0,-6.0,3,"((0, 0), (0, 2), (0, 5), (1, 0), (1, 1))"
-46.0,91.0,5,"((0, 0), (1, 1), (2, 1), (5, 2), (8, 7))"
-29874.0,521885.0,55,"((0, 0), (5, 3), (8, 5), (12, 45), (26, 13))"
-12.0,16.0,3,"((0, 0), (0, 4), (1, 0), (1, 1), (3, 0))"
-22.5,-55.0,9,"((0, 1), (0, 2), (1, 0), (2, 2), (5, 10))"
-101.0,-1017.0,29,"((0, 3), (1, 2), (2, 0), (5, 11), (6, 11))"
-111.5,241.0,9,"((0, 0), (0, 3), (1, 2), (2, 0), (3, 13))"
-12.0,16.0,3,"((0, 0), (0, 1), (1, 1), (3, 2), (3, 5))"
-14.5,19.0,3,"((0, 0), (0, 2), (1, 0), (1, 1), (5, 3))"
-225.0,675.0,12,"((0, 0), (0, 10), (1, 1), (2, 1), (5, 0))"
-90.0,205.0,7,"((0, 0), (0, 5), (1, 0), (1, 1), (5, 5))"
-2556.0,18588.0,27,"((0, 3), (0, 14), (1, 2), (2, 0), (14, 12))"
-142.0,379.0,8,"((0, 0), (1, 1), (2, 1), (3, 4), (11, 2))"
2.5,1.0,1,"((0, 0), (0, 1), (1, 0), (1, 1), (2, 0))"
-4.0,6.0,2,"((0, 1), (1, 0), (1, 1), (1, 2), (4, 2))"
-40.0,70.0,5,"((0, 1), (1, 0), (1, 1), (1, 5), (4, 5))"
-4.5,6.0,2,"((0, 0), (1, 0), (1, 1), (2, 3), (3, 0))"
-10.0,9.0,4,"((0, 1), (1, 0), (1, 1), (3, 0), (4, 3))"
4.0,-9.0,3,"((0, 0), (0, 1), (1, 0), (1, 1), (5, 0))"
-306.5,525.0,21,"((0, 0), (1, 1), (3, 2), (5, 2), (12, 17))"
-346.0,1221.0,13,"((0, 0), (2, 1), (3, 2), (9, 9), (11, 17))"
-2.5,1.0,3,"((0, 1), (1, 0), (1, 1), (3, 3), (5, 4))"
-12.0,16.0,3,"((0, 1), (0, 5), (1, 0), (1, 1), (2, 3))"
2.0,1.0,1,"((0, 1), (1, 0), (1, 1), (1, 2), (1, 4))"
-754.5,4421.0,18,"((0, 0), (2, 1), (3, 2), (11, 6), (15, 16))"
-90.5,187.0,8,"((0, 0), (0, 4), (1, 0), (2, 1), (4, 9))"
-10.0,15.0,3,"((0, 0), (0, 1), (1, 0), (2, 0), (2, 4))"
-22.5,35.0,4,"((0, 0), (1, 0), (1, 1), (3, 3), (5, 0))"
-52.5,112.0,6,"((0, 0), (1, 1), (1, 2), (2, 1), (11, 10))"
-48.0,86.0,5,"((0, 0), (0, 5), (1, 0), (1, 1), (4, 2))"
-10.0,15.0,3,"((0, 0), (1, 0), (1, 1), (3, 5), (4, 5))"
-8.5,10.0,2,"((0, 0), (1, 0), (1, 1), (4, 3), (4, 5))"
-40.0,70.0,5,"((0, 0), (0, 5), (1, 0), (1, 1), (3, 5))"
-306.0,1019.0,13,"((0, 0), (1, 1), (2, 1), (6, 0), (10, 10))"
-1.5,3.0,1,"((0, 0), (1, 0), (1, 1), (2, 0), (5, 2))"
-2.5,1.0,3,"((0, 0), (0, 1), (1, 1), (2, 4), (4, 5))"
-213.5,623.0,12,"((0, 0), (1, 1), (2, 1), (6, 10), (9, 8))"
-24.0,36.0,4,"((0, 0), (0, 4), (1, 0), (1, 1), (4, 0))"
0.0,2.0,1,"((0, 0), (0, 1), (1, 1), (1, 3), (2, 1))"
-10.0,15.0,3,"((0, 0), (1, 0), (1, 1), (1, 2), (5, 1))"
-48.0,86.0,5,"((0, 0), (0, 1), (0, 4), (1, 0), (5, 2))"
-778.0,4261.0,17,"((0, 0), (0, 7), (1, 1), (3, 2), (11, 13))"
-16.0,20.0,3,"((0, 0), (0, 3), (1, 0), (1, 1), (4, 2))"
-12.0,16.0,3,"((0, 1), (1, 0), (1, 1), (3, 1), (4, 4))"
-718.5,3297.0,17,"((0, 0), (1, 1), (2, 1), (9, 0), (10, 11))"
-4.0,6.0,2,"((0, 0), (0, 1), (1, 1), (4, 0), (4, 1))"
-134.5,333.0,15,"((0, 0), (0, 8), (1, 0), (2, 1), (4, 1))"
-1.5,3.0,1,"((0, 0), (0, 3), (1, 0), (1, 1), (1, 4))"
7.0,-80.0,9,"((0, 0), (1, 0), (2, 1), (8, 8), (11, 11))"
-10.0,15.0,3,"((0, 0), (1, 0), (1, 1), (1, 5), (2, 2))"
-18.0,25.0,3,"((0, 0), (1, 0), (2, 1), (7, 5), (10, 6))"
2.0,-1.0,2,"((0, 0), (1, 0), (1, 1), (3, 2), (4, 4))"
-40.0,46.0,7,"((0, 1), (0, 2), (1, 0), (1, 7), (3, 0))"
-1090.0,5695.0,21,"((0, 3), (1, 2), (2, 0), (2, 16), (8, 2))"
-128.5,406.0,9,"((0, 0), (1, 1), (2, 1), (4, 8), (7, 9))"
-70.0,205.0,8,"((0, 0), (0, 6), (1, 0), (2, 1), (3, 2))"
-14.5,19.0,3,"((0, 0), (1, 0), (1, 1), (5, 0), (5, 2))"
-22.0,29.0,3,"((0, 0), (1, 0), (1, 1), (3, 5), (4, 2))"
-193.5,911.0,13,"((0, 0), (1, 0), (2, 1), (2, 11), (3, 2))"
-324.0,1290.0,17,"((0, 0), (1, 1), (3, 2), (8, 6), (10, 1))"
-4042.5,46277.0,36,"((0, 0), (2, 1), (3, 2), (4, 16), (17, 12))"
-13.5,21.0,3,"((0, 0), (0, 1), (1, 0), (3, 3), (4, 2))"
-630.0,2865.0,15,"((0, 0), (1, 1), (2, 1), (9, 9), (10, 0))"
2.0,1.0,1,"((0, 1), (1, 0), (1, 1), (1, 2), (2, 3))"
3.0,0.0,1,"((0, 0), (0, 1), (1, 0), (2, 1), (3, 1))"
-952.0,5254.0,21,"((0, 0), (1, 1), (2, 1), (2, 11), (11, 7))"
-6.0,7.0,2,"((0, 0), (0, 2), (1, 1), (2, 1), (5, 1))"
-4.5,6.0,2,"((0, 0), (0, 1), (1, 1), (3, 1), (4, 3))"
-9.0,11.0,4,"((0, 0), (0, 1), (1, 0), (4, 2), (4, 3))"
-6.0,7.0,2,"((0, 0), (1, 0), (1, 1), (3, 4), (5, 5))"
2.0,1.0,1,"((0, 0), (1, 1), (2, 0), (2, 1), (2, 2))"
-14.5,19.0,3,"((0, 0), (1, 1), (2, 3), (3, 2), (7, 4))"
-20.5,26.0,5,"((0, 0), (0, 2), (1, 0), (1, 1), (4, 7))"
-18.0,25.0,3,"((0, 0), (0, 1), (0, 3), (1, 0), (3, 5))"
-22.5,35.0,4,"((0, 1), (1, 0), (1, 1), (1, 3), (5, 0))"
-92.0,176.0,14,"((0, 0), (1, 1), (2, 1), (2, 9), (3, 2))"
-4.0,6.0,2,"((0, 0), (1, 0), (1, 1), (2, 4), (3, 4))"
-42.5,73.0,5,"((0, 0), (0, 4), (1, 0), (1, 1), (4, 5))"
3.5,-3.0,2,"((0, 0), (1, 0), (1, 1), (1, 4), (1, 5))"
-40.0,70.0,5,"((0, 0), (1, 0), (1, 1), (3, 4), (5, 0))"
-4.0,6.0,2,"((0, 1), (0, 5), (1, 0), (1, 1), (1, 4))"
-910.0,4825.0,17,"((0, 0), (2, 1), (3, 2), (5, 9), (15, 5))"
-350.5,1801.0,15,"((0, 0), (0, 8), (1, 0), (2, 1), (4, 10))"
2.0,1.0,1,"((0, 0), (1, 0), (1, 1), (1, 2), (2, 0))"
1.5,1.0,1,"((0, 0), (1, 0), (1, 1), (3, 2), (3, 3))"
0.0,2.0,1,"((0, 0), (0, 2), (1, 0), (1, 1), (2, 2))"
-259.5,752.0,14,"((0, 0), (1, 4), (2, 1), (3, 2), (12, 15))"
-22.5,-47.0,8,"((0, 2), (1, 0), (1, 1), (3, 5), (7, 9))"
-604.0,2756.0,14,"((0, 0), (1, 1), (2, 1), (6, 10), (11, 4))"
-34.0,55.0,6,"((0, 1), (1, 0), (1, 1), (3, 0), (4, 5))"
-94.5,215.0,7,"((0, 0), (1, 1), (2, 1), (6, 0), (6, 5))"
1.5,1.0,1,"((0, 0), (0, 1), (1, 1), (2, 1), (5, 1))"
-60.0,122.0,6,"((0, 0), (0, 5), (1, 0), (1, 1), (4, 4))"
1.0,-5.0,3,"((0, 0), (1, 0), (1, 1), (4, 1), (5, 0))"
-4.0,6.0,2,"((0, 0), (1, 0), (1, 1), (2, 2), (2, 5))"
-90.0,205.0,7,"((0, 0), (1, 1), (2, 1), (2, 7), (5, 5))"
-2.0,3.0,1,"((0, 1), (1, 0), (1, 1), (1, 4), (2, 2))"
-11.5,10.0,4,"((0, 0), (0, 1), (1, 0), (1, 3), (4, 1))"
-254.5,867.0,12,"((0, 0), (2, 1), (3, 2), (10, 10), (10, 14))"
1.5,1.0,1,"((0, 0), (1, 0), (1, 1), (3, 0), (5, 0))"
1.5,1.0,1,"((0, 1), (1, 0), (1, 1), (1, 3), (1, 5))"
-4.0,6.0,2,"((0, 0), (1, 0), (1, 1), (1, 2), (4, 1))"
3.0,0.0,1,"((0, 0), (0, 1), (1, 1), (1, 2), (3, 4))"
-40.0,70.0,5,"((0, 0), (1, 0), (1, 1), (1, 4), (5, 2))"
0.0,2.0,1,"((0, 1), (1, 0), (1, 1), (2, 1), (2, 3))"
-16.0,20.0,3,"((0, 0), (1, 0), (1, 1), (3, 4), (4, 1))"
-6.0,7.0,2,"((0, 0), (0, 1), (1, 0), (3, 0), (4, 2))"
-1.5,3.0,1,"((0, 0), (1, 0), (1, 1), (4, 1), (5, 2))"
-14.5,19.0,3,"((0, 0), (0, 1), (0, 5), (1, 1), (2, 5))"
-346.5,1281.0,12,"((0, 0), (0, 6), (1, 1), (2, 1), (9, 9))"
3.0,0.0,1,"((0, 0), (0, 1), (1, 0), (1, 1), (1, 3))"
-10.0,9.0,4,"((0, 0), (0, 1), (1, 1), (1, 3), (5, 4))"
-8.5,10.0,2,"((0, 0), (1, 0), (1, 1), (2, 5), (3, 4))"
-4.0,6.0,2,"((0, 0), (0, 1), (1, 0), (2, 2), (4, 4))"
-218.5,709.0,10,"((0, 0), (0, 7), (1, 0), (2, 1), (6, 5))"
-208.0,1016.0,14,"((0, 1), (0, 2), (0, 3), (1, 0), (8, 9))"
1.5,1.0,1,"((0, 0), (0, 1), (1, 1), (1, 3), (2, 3))"
