b,c,k,A
-40.0,70.0,5,"((0, 0), (0, 4), (1, 0), (1, 1), (4, 4))"
-1.5,3.0,1,"((0, 0), (0, 1), (1, 1), (1, 2), (3, 0))"
-2.5,1.0,3,"((0, 0), (0, 1), (0, 4), (1, 0), (2, 1))"
3.0,0.0,1,"((0, 0), (1, 0), (1, 1), (1, 3), (1, 4))"
-128.5,406.0,9,"((0, 0), (1, 0), (2, 1), (2, 6), (6, 8))"
0.0,2.0,1,"((0, 0), (1, 0), (1, 1), (1, 3), (2, 3))"
-1.5,3.0,1,"((0, 0), (0, 1), (1, 0), (3, 1), (4, 0))"
-106.5,251.0,7,"((0, 0), (1, 0), (2, 1), (4, 5), (9, 4))"
-4.0,6.0,2,"((0, 0), (1, 0), (2, 0), (2, 1), (7, 4))"
-610.0,2837.0,15,"((0, 0), (2, 1), (3, 2), (7, 10), (10, 2))"
-478.5,2101.0,14,"((0, 1), (0, 2), (1, 0), (7, 0), (9, 8))"
-3958.0,58741.0,44,"((0, 0), (3, 2), (5, 3), (14, 8), (16, 22))"
3.0,0.0,1,"((0, 0), (0, 1), (1, 0), (1, 1), (3, 0))"
-61.5,169.0,7,"((0, 0), (0, 9), (1, 0), (1, 1), (2, 1))"
-26.0,41.0,4,"((0, 0), (0, 1), (1, 0), (2, 4), (4, 2))"
-118.0,265.0,9,"((0, 1), (0, 2), (1, 0), (1, 5), (7, 5))"
-892.5,4664.0,19,"((0, 0), (3, 2), (5, 3), (12, 13), (13, 5))"
-64.5,132.0,6,"((0, 0), (1, 0), (2, 1), (3, 6), (6, 6))"
-268.0,956.0,11,"((0, 0), (1, 1), (2, 1), (2, 9), (6, 1))"
2.5,1.0,1,"((0, 1), (1, 0), (1, 1), (1, 2), (1, 3))"
-218.5,709.0,10,"((0, 0), (1, 1), (1, 8), (2, 1), (6, 1))"
-386.0,1337.0,14,"((0, 1), (0, 2), (1, 0), (2, 9), (8, 5))"
-13.5,21.0,3,"((0, 0), (1, 1), (2, 1), (4, 5), (7, 9))"
0.0,2.0,1,"((0, 1), (1, 0), (1, 1), (2, 2), (4, 3))"
3.0,0.0,1,"((0, 0), (1, 0), (1, 1), (2, 1), (3, 0))"
-738.0,4285.0,18,"((0, 1), (0, 2), (1, 0), (5, 9), (9, 1))"
-4.0,6.0,2,"((0, 0), (1, 0), (1, 1), (2, 0), (3, 4))"
-210.5,601.0,11,"((0, 0), (1, 1), (2, 1), (5, 7), (7, 0))"
-30.5,51.0,4,"((0, 1), (0, 2), (1, 0), (1, 2), (6, 6))"
2.0,1.0,1,"((0, 0), (0, 1), (1, 1), (1, 2), (2, 4))"
-12.0,16.0,3,"((0, 0), (0, 1), (1, 1), (2, 4), (3, 1))"
-1.5,3.0,1,"((0, 0), (1, 0), (1, 1), (2, 2), (4, 1))"
-12.0,16.0,3,"((0, 1), (1, 0), (1, 1), (1, 3), (4, 3))"
-111.5,241.0,9,"((0, 0), (0, 8), (1, 1), (2, 1), (3, 7))"
-3102.5,23105.0,33,"((0, 0), (2, 23), (3, 2), (5, 3), (11, 4))"
-26.5,39.0,4,"((0, 0), (0, 1), (1, 0), (4, 1), (4, 4))"
-40.0,70.0,5,"((0, 0), (1, 1), (1, 4), (2, 1), (5, 5))"
-4.5,6.0,2,"((0, 1), (1, 0), (1, 1), (3, 1), (4, 3))"
-30.5,51.0,4,"((0, 0), (1, 0), (2, 1), (6, 0), (9, 2))"
-168.0,476.0,9,"((0, 0), (1, 1), (2, 1), (7, 7), (9, 3))"
-16.0,20.0,3,"((0, 0), (0, 1), (1, 1), (2, 4), (4, 2))"
2.5,1.0,1,"((0, 0), (1, 0), (1, 1), (2, 0), (3, 0))"
0.5,0.0,2,"((0, 0), (1, 0), (1, 1), (3, 2), (4, 1))"
-11.5,11.0,5,"((0, 1), (1, 0), (1, 1), (2, 0), (4, 4))"
-58.0,127.0,6,"((0, 1), (0, 2), (1, 0), (1, 7), (3, 3))"
-18.5,-3.0,7,"((0, 1), (0, 2), (1, 0), (2, 1), (5, 6))"
-19.5,26.0,3,"((0, 0), (0, 1), (1, 1), (1, 4), (4, 2))"
-148.5,400.0,8,"((0, 0), (1, 1), (2, 1), (3, 6), (8, 3))"
-13.5,17.0,3,"((0, 0), (1, 0), (1, 1), (4, 1), (4, 4))"
-366.0,1345.0,12,"((0, 0), (1, 1), (2, 1), (6, 8), (9, 1))"
-202.0,793.0,11,"((0, 0), (2, 1), (3, 2), (7, 4), (10, 11))"
-1006.5,5085.0,23,"((0, 3), (1, 2), (2, 0), (9, 1), (12, 11))"
-200.5,586.0,9,"((0, 0), (1, 1), (1, 6), (2, 1), (8, 1))"
-6.0,7.0,2,"((0, 0), (0, 1), (1, 0), (3, 1), (4, 3))"
-2.0,3.0,1,"((0, 0), (1, 0), (1, 1), (3, 0), (4, 2))"
-174.0,385.0,16,"((0, 0), (2, 1), (3, 2), (4, 8), (8, 11))"
-40.5,28.0,8,"((0, 0), (1, 1), (2, 1), (9, 7), (9, 9))"
1.0,0.0,2,"((0, 0), (1, 0), (1, 1), (2, 1), (3, 4))"
3.0,0.0,1,"((0, 0), (1, 0), (1, 1), (3, 3), (4, 4))"
-8.5,10.0,2,"((0, 0), (0, 1), (1, 1), (2, 0), (3, 4))"
-16.0,20.0,3,"((0, 0), (1, 0), (1, 1), (2, 4), (4, 2))"
-169.5,535.0,9,"((0, 3), (0, 5), (1, 2), (2, 0), (9, 0))"
-78.5,197.0,7,"((0, 0), (1, 1), (2, 1), (2, 6), (5, 7))"
0.5,0.0,2,"((0, 0), (0, 1), (1, 0), (1, 2), (3, 3))"
-760.0,4980.0,20,"((0, 0), (0, 4), (3, 2), (5, 3), (20, 12))"
-26.5,39.0,4,"((0, 1), (0, 2), (1, 0), (1, 4), (4, 6))"
-4266.0,42138.0,36,"((0, 0), (0, 15), (3, 2), (5, 3), (18, 9))"
-13.5,21.0,3,"((0, 0), (0, 1), (1, 0), (2, 4), (3, 3))"
-120.0,282.0,7,"((0, 0), (1, 0), (1, 4), (2, 1), (9, 6))"
2.0,1.0,1,"((0, 0), (1, 0), (1, 1), (2, 0), (2, 2))"
-4.0,6.0,2,"((0, 1), (1, 0), (1, 1), (1, 2), (4, 4))"
-8.5,10.0,2,"((0, 0), (1, 0), (1, 1), (2, 4), (3, 1))"
