m,A,|A|,b,k,const
8,"{0, 1, 2, 5, 6, 8}",6,16,2,0
36,"{0, 2, 3, 5, 7, 8, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 22, 24, 25, 26, 27, 29, 30, 33, 35, 36}",26,108,3,0
10,"{0, 1, 2, 6, 7, 8, 10}",7,30,3,0
41,"{0, 2, 3, 4, 5, 6, 9, 11, 13, 14, 16, 17, 19, 25, 26, 27, 29, 33, 35, 38, 40, 41}",22,123,3,0
32,"{0, 1, 2, 3, 4, 7, 10, 11, 15, 17, 19, 21, 25, 26, 27, 28, 29, 30, 32}",19,64,2,0
11,"{0, 2, 3, 4, 5, 8, 9, 10, 11}",9,22,2,0
33,"{0, 2, 3, 4, 7, 9, 12, 13, 15, 16, 17, 19, 20, 24, 25, 29, 30, 31, 32, 33}",20,66,2,0
42,"{0, 2, 3, 5, 6, 9, 10, 11, 16, 17, 19, 23, 26, 27, 28, 29, 31, 34, 37, 38, 39, 40, 41, 42}",24,84,2,0
7,"{0, 2, 3, 5, 6, 7}",6,14,2,0
11,"{0, 1, 3, 5, 7, 8, 9, 11}",8,22,2,0
44,"{0, 1, 2, 3, 4, 5, 6, 8, 10, 12, 13, 16, 19, 20, 21, 22, 23, 27, 28, 29, 30, 33, 35, 36, 37, 38, 39, 41, 42, 44}",30,88,2,0
23,"{0, 2, 3, 4, 5, 6, 10, 14, 15, 19, 20, 22, 23}",13,69,3,0
20,"{0, 1, 2, 3, 4, 6, 8, 10, 11, 13, 15, 16, 17, 18, 20}",15,40,2,0
12,"{0, 2, 3, 5, 7, 11, 12}",7,48,4,0
32,"{0, 32, 2, 3, 4, 5, 6, 8, 9, 20, 24, 31}",12,224,7,0
24,"{0, 1, 3, 4, 5, 9, 11, 12, 14, 15, 16, 17, 18, 21, 22, 24}",16,48,2,0
7,"{0, 1, 2, 6, 7}",5,21,3,0
8,"{0, 2, 3, 5, 6, 7, 8}",7,16,2,0
44,"{0, 1, 2, 3, 5, 6, 8, 12, 13, 16, 17, 18, 20, 21, 22, 24, 27, 29, 31, 32, 34, 37, 39, 40, 41, 42, 44}",27,88,2,0
14,"{0, 1, 4, 8, 9, 11, 12, 14}",8,56,4,0
5,"{0, 1, 2, 3, 5}",5,5,1,0
37,"{0, 2, 3, 4, 5, 6, 10, 11, 13, 17, 19, 20, 23, 24, 25, 28, 30, 31, 33, 34, 36, 37}",22,74,2,0
23,"{0, 1, 2, 3, 5, 8, 10, 11, 13, 15, 17, 18, 20, 21, 23}",15,46,2,0
48,"{0, 1, 3, 7, 9, 11, 13, 14, 15, 18, 19, 24, 25, 27, 31, 32, 35, 41, 43, 45, 46, 48}",22,144,3,0
41,"{0, 1, 2, 3, 4, 6, 10, 14, 18, 21, 22, 24, 25, 27, 29, 30, 31, 32, 34, 36, 37, 38, 39, 41}",24,82,2,0
10,"{0, 1, 4, 5, 6, 7, 8, 10}",8,30,3,0
8,"{0, 1, 5, 6, 8}",5,32,4,0
8,"{0, 2, 3, 4, 6, 7, 8}",7,16,2,0
25,"{0, 1, 7, 15, 17, 18, 22, 23, 25}",9,175,7,0
44,"{0, 1, 4, 5, 6, 7, 9, 10, 12, 13, 14, 15, 18, 20, 24, 25, 26, 27, 28, 31, 33, 35, 36, 38, 40, 41, 42, 44}",28,132,3,0
5,"{0, 1, 2, 3, 5}",5,5,1,0
17,"{0, 2, 3, 5, 6, 15, 16, 17}",8,85,5,0
28,"{0, 2, 3, 4, 5, 7, 8, 10, 11, 13, 14, 16, 17, 19, 20, 22, 23, 27, 28}",19,112,4,0
8,"{0, 1, 2, 5, 6, 8}",6,16,2,0
41,"{32, 33, 2, 3, 35, 4, 37, 0, 40, 41, 10, 11, 15, 22, 25, 26, 29}",17,123,3,0
10,"{0, 1, 2, 4, 5, 7, 8, 10}",8,20,2,0
42,"{0, 1, 4, 5, 6, 10, 12, 13, 14, 15, 16, 25, 26, 27, 28, 29, 33, 34, 38, 39, 40, 42}",22,126,3,0
6,"{0, 1, 3, 4, 6}",5,12,2,0
11,"{0, 1, 4, 7, 8, 9, 11}",7,33,3,0
5,"{0, 2, 3, 4, 5}",5,5,1,0
5,"{0, 1, 2, 3, 5}",5,5,1,0
19,"{0, 1, 6, 7, 9, 10, 14, 15, 16, 17, 19}",11,95,5,0
16,"{0, 1, 4, 15, 16}",5,160,10,0
22,"{0, 1, 4, 8, 10, 12, 13, 14, 15, 16, 18, 19, 20, 22}",14,88,4,0
32,"{0, 1, 32, 3, 10, 11, 21, 25, 29, 30}",10,128,4,0
40,"{0, 2, 3, 4, 5, 9, 13, 15, 16, 18, 21, 25, 26, 27, 28, 29, 32, 33, 34, 35, 39, 40}",22,160,4,0
