m,A,|A|,b,k,~k
69,"{0, 2, 4, 6, 7, 8, 9, 11, 12, 16, 19, 21, 22, 24, 25, 26, 33, 34, 35, 36, 37, 38, 39, 40, 41, 45, 48, 52, 54, 55, 57, 59, 60, 61, 66, 67, 68, 69}",38,205,2,33
45,"{0, 1, 45}",3,990,42,44
64,"{0, 3, 4, 5, 6, 9, 10, 11, 12, 13, 15, 16, 18, 20, 21, 28, 29, 30, 33, 34, 35, 37, 38, 42, 45, 46, 47, 48, 50, 51, 56, 58, 59, 60, 61, 64}",36,189,2,30
56,"{0, 2, 6, 8, 11, 15, 18, 19, 21, 22, 23, 29, 31, 33, 36, 38, 39, 44, 48, 50, 52, 56}",22,98,1,36
35,"{0, 21, 35, 5}",4,175,8,33
37,"{0, 3, 37, 10, 12, 13, 15, 17, 19, 20, 21, 22, 25, 28}",14,90,2,25
8,"{0, 1, 8}",3,28,5,7
10,"{0, 3, 7, 8, 10}",5,36,3,7
39,"{32, 0, 34, 6, 39, 8, 10, 25, 27}",9,208,5,32
11,"{0, 3, 4, 6, 9, 11}",6,17,1,7
32,"{0, 1, 32, 21}",4,561,19,30
79,"{0, 2, 4, 5, 6, 7, 8, 15, 18, 24, 25, 28, 30, 31, 33, 36, 37, 38, 40, 42, 45, 46, 50, 52, 53, 56, 57, 60, 66, 67, 69, 72, 74, 79}",34,227,2,47
75,"{0, 1, 4, 6, 7, 8, 16, 18, 24, 31, 36, 41, 42, 50, 52, 54, 55, 59, 71, 73, 75}",21,291,3,56
17,"{0, 1, 17}",3,136,14,16
24,"{0, 2, 7, 9, 10, 11, 14, 15, 17, 21, 24}",11,88,3,15
63,"{0, 2, 3, 6, 7, 8, 9, 10, 11, 17, 19, 20, 23, 24, 25, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 39, 40, 43, 44, 45, 47, 49, 51, 53, 54, 55, 56, 59, 61, 62, 63}",41,126,1,24
74,"{0, 3, 5, 6, 9, 10, 11, 17, 18, 21, 23, 24, 26, 28, 29, 30, 33, 34, 35, 36, 38, 41, 42, 43, 45, 46, 48, 50, 56, 57, 60, 61, 67, 69, 70, 71, 74}",37,217,2,39
15,"{0, 1, 2, 4, 6, 7, 8, 10, 12, 14, 15}",11,31,1,6
97,"{0, 3, 4, 9, 12, 13, 15, 18, 22, 23, 24, 25, 27, 28, 29, 37, 39, 40, 43, 45, 48, 50, 51, 59, 60, 61, 63, 66, 67, 70, 72, 73, 74, 76, 79, 80, 84, 85, 88, 89, 92, 97}",42,379,3,57
