m,A,|A|,b,k,const
15,"{0, 3, 4, 5, 6, 7, 8, 9, 11, 14, 15}",11,44,3,-1
17,"{0, 2, 4, 5, 6, 8, 10, 11, 12, 16, 17}",11,67,4,-1
5,"{0, 3, 4, 5}",4,4,1,-1
13,"{0, 1, 2, 3, 4, 5, 8, 11, 13}",9,38,3,-1
5,"{0, 1, 4, 5}",4,9,2,-1
5,"{0, 2, 3, 5}",4,4,1,-1
5,"{0, 1, 2, 5}",4,4,1,-1
18,"{0, 2, 5, 6, 8, 10, 11, 13, 15, 16, 17, 18}",12,53,3,-1
5,"{0, 1, 2, 5}",4,4,1,-1
6,"{0, 1, 2, 3, 6}",5,5,1,-1
14,"{0, 2, 5, 6, 9, 13, 14}",7,55,4,-1
11,"{0, 2, 3, 7, 8, 9, 11}",7,21,2,-1
5,"{0, 2, 3, 5}",4,4,1,-1
19,"{0, 2, 3, 5, 8, 9, 13, 14, 16, 17, 19}",11,37,2,-1
5,"{0, 1, 3, 5}",4,4,1,-1
19,"{0, 2, 3, 6, 7, 8, 13, 14, 15, 16, 17, 19}",12,37,2,-1
7,"{0, 1, 2, 5, 7}",5,13,2,-1
5,"{0, 2, 3, 5}",4,4,1,-1
10,"{0, 2, 3, 7, 8, 10}",6,19,2,-1
7,"{0, 3, 4, 5, 6, 7}",6,6,1,-1
8,"{0, 1, 3, 4, 5, 8}",6,15,2,-1
5,"{0, 2, 3, 5}",4,4,1,-1
5,"{0, 2, 3, 5}",4,4,1,-1
5,"{0, 2, 3, 5}",4,4,1,-1
13,"{0, 1, 2, 7, 8, 12, 13}",7,38,3,-1
5,"{0, 1, 2, 5}",4,4,1,-1
7,"{0, 3, 4, 5, 6, 7}",6,6,1,-1
5,"{0, 1, 2, 5}",4,4,1,-1
13,"{0, 2, 4, 5, 6, 7, 8, 12, 13}",9,51,4,-1
6,"{0, 1, 2, 3, 6}",5,5,1,-1
16,"{0, 1, 2, 3, 5, 6, 8, 11, 14, 16}",10,47,3,-1
19,"{0, 2, 5, 7, 9, 10, 11, 14, 15, 16, 17, 18, 19}",13,75,4,-1
5,"{0, 3, 4, 5}",4,4,1,-1
8,"{0, 1, 3, 4, 5, 8}",6,15,2,-1
13,"{0, 1, 2, 8, 9, 10, 13}",7,51,4,-1
6,"{0, 1, 2, 3, 6}",5,5,1,-1
5,"{0, 1, 4, 5}",4,9,2,-1
6,"{0, 2, 4, 5, 6}",5,5,1,-1
7,"{0, 1, 2, 5, 7}",5,13,2,-1
14,"{0, 1, 2, 3, 4, 9, 12, 14}",8,55,4,-1
15,"{0, 3, 4, 5, 6, 8, 9, 12, 13, 14, 15}",11,29,2,-1
17,"{0, 1, 2, 5, 8, 12, 13, 14, 17}",9,50,3,-1
6,"{0, 1, 2, 4, 6}",5,5,1,-1
6,"{0, 1, 2, 4, 6}",5,5,1,-1
14,"{0, 3, 4, 5, 8, 13, 14}",7,69,5,-1
5,"{0, 1, 3, 5}",4,4,1,-1
7,"{0, 1, 2, 3, 5, 7}",6,6,1,-1
5,"{0, 1, 3, 5}",4,4,1,-1
5,"{0, 1, 2, 5}",4,4,1,-1
16,"{0, 1, 4, 6, 8, 9, 11, 12, 14, 16}",10,47,3,-1
5,"{0, 1, 4, 5}",4,9,2,-1
5,"{0, 1, 2, 5}",4,4,1,-1
6,"{0, 1, 2, 3, 6}",5,5,1,-1
19,"{0, 2, 5, 6, 9, 11, 16, 17, 18, 19}",10,56,3,-1
10,"{0, 1, 2, 5, 6, 7, 10}",7,19,2,-1
8,"{0, 3, 4, 5, 7, 8}",6,15,2,-1
18,"{0, 1, 11, 13, 14, 15, 18}",7,179,10,-1
17,"{0, 2, 3, 6, 7, 8, 11, 12, 14, 15, 17}",11,33,2,-1
6,"{0, 2, 3, 4, 6}",5,5,1,-1
13,"{0, 2, 3, 8, 10, 11, 13}",7,38,3,-1
5,"{0, 1, 4, 5}",4,9,2,-1
12,"{0, 1, 2, 3, 4, 7, 8, 10, 12}",9,23,2,-1
6,"{0, 1, 2, 3, 6}",5,5,1,-1
8,"{0, 1, 3, 4, 6, 8}",6,15,2,-1
5,"{0, 1, 4, 5}",4,9,2,-1
