m,A,|A|,b,k,const
34,"{32, 0, 34, 3, 4, 7, 8, 9, 10, 11, 13, 14, 20, 22, 25, 27, 28}",17,97,3,-5
22,"{0, 2, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 22}",13,61,3,-5
45,"{0, 2, 3, 4, 7, 9, 11, 12, 14, 15, 20, 25, 27, 28, 30, 31, 32, 34, 35, 36, 37, 38, 39, 45}",24,85,2,-5
46,"{0, 2, 3, 6, 8, 10, 11, 13, 14, 17, 19, 20, 22, 27, 28, 29, 31, 32, 34, 35, 37, 39, 40, 43, 46}",25,133,3,-5
39,"{0, 2, 4, 37, 36, 39, 10, 11, 15, 17, 21, 29}",12,151,4,-5
33,"{0, 1, 2, 4, 5, 6, 7, 12, 14, 15, 17, 18, 20, 22, 23, 25, 26, 28, 33}",19,61,2,-5
31,"{0, 4, 5, 10, 12, 15, 16, 17, 18, 22, 30, 31}",12,243,8,-5
9,"{0, 1, 4, 5, 9}",5,22,3,-5
12,"{0, 1, 5, 6, 7, 12}",6,43,4,-5
23,"{0, 3, 6, 7, 8, 11, 15, 16, 18, 19, 20, 23}",12,41,2,-5
7,"{0, 3, 4, 7}",4,9,2,-5
17,"{0, 1, 2, 3, 4, 8, 11, 13, 17}",9,29,2,-5
5,"{0, 1, 5}",3,10,3,-5
42,"{32, 0, 2, 37, 40, 9, 42, 14, 28}",9,289,7,-5
46,"{0, 3, 4, 5, 6, 7, 8, 10, 13, 14, 16, 29, 32, 35, 36, 37, 41, 43, 46}",19,133,3,-5
18,"{0, 2, 6, 7, 11, 12, 13, 14, 18}",9,49,3,-5
45,"{0, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 16, 18, 21, 23, 25, 27, 28, 31, 32, 33, 35, 36, 37, 38, 39, 41, 45}",28,85,2,-5
38,"{0, 3, 4, 5, 6, 8, 11, 12, 13, 14, 16, 20, 22, 23, 24, 26, 30, 31, 33, 34, 38}",21,71,2,-5
41,"{0, 5, 7, 9, 11, 12, 13, 17, 22, 23, 25, 27, 28, 30, 31, 33, 34, 38, 40, 41}",20,118,3,-5
5,"{0, 1, 5}",3,10,3,-5
44,"{0, 4, 5, 6, 7, 8, 10, 12, 13, 14, 15, 16, 17, 18, 22, 24, 26, 27, 29, 32, 33, 37, 38, 39, 40, 44}",26,83,2,-5
35,"{0, 1, 2, 3, 35, 5, 6, 7, 9, 11, 12, 13, 14, 16, 25, 28, 29, 30}",18,100,3,-5
5,"{0, 1, 5}",3,10,3,-5
46,"{0, 1, 2, 4, 5, 6, 8, 10, 14, 18, 19, 22, 23, 30, 33, 34, 35, 38, 43, 46}",20,133,3,-5
23,"{0, 1, 3, 4, 5, 7, 8, 9, 14, 15, 17, 19, 23}",13,41,2,-5
9,"{0, 1, 3, 5, 9}",5,13,2,-5
7,"{0, 1, 2, 7}",4,9,2,-5
5,"{0, 1, 5}",3,10,3,-5
11,"{0, 1, 3, 5, 6, 11}",6,6,1,-5
5,"{0, 1, 5}",3,10,3,-5
11,"{0, 4, 6, 7, 10, 11}",6,17,2,-5
11,"{0, 1, 4, 5, 6, 11}",6,28,3,-5
25,"{0, 1, 2, 3, 11, 12, 15, 16, 20, 21, 25}",11,95,4,-5
5,"{0, 1, 5}",3,10,3,-5
47,"{0, 3, 5, 6, 7, 8, 9, 11, 12, 15, 22, 26, 27, 28, 29, 33, 35, 37, 38, 39, 40, 41, 42, 44, 47}",25,89,2,-5
42,"{0, 1, 2, 3, 5, 6, 9, 11, 12, 13, 14, 16, 19, 20, 21, 22, 23, 26, 29, 30, 34, 36, 37, 42}",24,121,3,-5
46,"{0, 1, 2, 6, 7, 10, 14, 18, 19, 23, 26, 27, 32, 33, 35, 36, 37, 43, 46}",19,133,3,-5
38,"{0, 1, 34, 33, 4, 5, 38, 9, 12, 13, 15, 16, 18, 20, 26, 29}",16,109,3,-5
37,"{0, 1, 2, 32, 4, 37, 13, 14, 15, 17, 19, 21, 28, 29, 30}",15,143,4,-5
26,"{0, 1, 5, 6, 8, 9, 10, 11, 13, 14, 16, 18, 20, 21, 26}",15,99,4,-5
26,"{0, 3, 6, 9, 10, 11, 15, 17, 18, 19, 20, 24, 25, 26}",14,73,3,-5
21,"{0, 3, 5, 6, 7, 9, 10, 13, 14, 17, 19, 21}",12,37,2,-5
7,"{0, 3, 4, 7}",4,9,2,-5
44,"{0, 1, 3, 4, 6, 10, 13, 15, 16, 17, 18, 24, 26, 27, 30, 31, 33, 36, 41, 44}",20,215,5,-5
38,"{0, 1, 3, 4, 5, 7, 9, 12, 13, 15, 16, 17, 18, 19, 22, 24, 27, 29, 30, 31, 34, 38}",22,71,2,-5
16,"{0, 4, 5, 7, 11, 12, 14, 16}",8,43,3,-5
34,"{0, 3, 4, 5, 6, 8, 9, 12, 16, 17, 18, 19, 20, 23, 25, 26, 28, 29, 30, 34}",20,63,2,-5
39,"{0, 2, 3, 7, 8, 10, 11, 12, 13, 15, 17, 18, 19, 20, 25, 28, 29, 34, 35, 39}",20,151,4,-5
7,"{0, 1, 2, 7}",4,9,2,-5
5,"{0, 1, 5}",3,10,3,-5
38,"{0, 1, 3, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 21, 22, 23, 25, 26, 27, 29, 30, 33, 38}",23,147,4,-5
10,"{0, 1, 2, 3, 5, 10}",6,15,2,-5
37,"{0, 1, 34, 4, 5, 37, 17, 18, 19, 21, 28, 30}",12,143,4,-5
11,"{0, 1, 2, 4, 7, 11}",6,17,2,-5
11,"{0, 4, 6, 7, 10, 11}",6,17,2,-5
7,"{0, 3, 4, 7}",4,9,2,-5
49,"{0, 4, 6, 7, 8, 10, 11, 12, 14, 15, 20, 21, 22, 23, 24, 26, 27, 30, 31, 32, 36, 37, 40, 43, 46, 47, 49}",27,142,3,-5
15,"{0, 1, 2, 5, 6, 9, 11, 15}",8,25,2,-5
26,"{0, 1, 2, 3, 6, 10, 15, 16, 17, 23, 26}",11,73,3,-5
49,"{0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 15, 16, 17, 18, 19, 21, 24, 25, 26, 28, 32, 34, 35, 36, 37, 38, 40, 41, 44, 49}",30,93,2,-5
16,"{0, 2, 3, 4, 5, 7, 9, 10, 13, 16}",10,27,2,-5
17,"{0, 1, 2, 8, 10, 13, 17}",7,63,4,-5
21,"{0, 1, 5, 6, 8, 13, 18, 21}",8,79,4,-5
14,"{0, 3, 5, 6, 9, 12, 14}",7,37,3,-5
43,"{0, 2, 4, 5, 7, 8, 9, 14, 16, 17, 18, 19, 25, 26, 27, 28, 30, 31, 35, 37, 38, 40, 43}",23,81,2,-5
7,"{0, 2, 5, 7}",4,16,3,-5
7,"{0, 1, 2, 7}",4,9,2,-5
44,"{0, 3, 4, 6, 7, 8, 12, 14, 15, 16, 17, 18, 20, 21, 23, 31, 33, 34, 35, 40, 41, 44}",22,83,2,-5
28,"{0, 1, 2, 3, 5, 7, 9, 10, 11, 12, 14, 15, 16, 18, 22, 24, 26, 28}",18,51,2,-5
14,"{0, 2, 8, 10, 13, 14}",6,51,4,-5
46,"{0, 4, 5, 6, 7, 8, 9, 10, 11, 12, 16, 17, 18, 19, 21, 24, 27, 28, 30, 33, 34, 35, 37, 38, 39, 42, 43, 46}",28,87,2,-5
14,"{0, 4, 8, 9, 10, 11, 12, 13, 14}",9,9,1,-5
18,"{0, 1, 4, 5, 10, 12, 14, 16, 18}",9,49,3,-5
11,"{0, 1, 2, 4, 5, 11}",6,6,1,-5
25,"{0, 1, 6, 10, 11, 15, 16, 18, 22, 25}",10,120,5,-5
13,"{0, 4, 5, 8, 9, 10, 12, 13}",8,8,1,-5
41,"{0, 3, 7, 14, 17, 18, 19, 22, 23, 24, 27, 29, 30, 32, 33, 35, 36, 40, 41}",19,200,5,-5
5,"{0, 1, 5}",3,10,3,-5
48,"{0, 2, 5, 6, 8, 9, 10, 13, 15, 18, 19, 20, 23, 31, 36, 39, 40, 42, 46, 48}",20,139,3,-5
27,"{0, 1, 9, 13, 15, 16, 19, 20, 22, 27}",10,211,8,-5
33,"{0, 2, 5, 6, 7, 8, 9, 10, 11, 13, 14, 16, 17, 19, 20, 21, 22, 24, 27, 31, 33}",21,94,3,-5
