m,A,|A|,b,k,const
19,"{0, 3, 5, 6, 8, 10, 11, 12, 13, 17, 19}",11,32,2,-6
11,"{0, 1, 3, 4, 7, 11}",6,16,2,-6
10,"{0, 1, 3, 4, 10}",5,14,2,-6
13,"{0, 1, 2, 4, 8, 13}",6,33,3,-6
43,"{0, 3, 5, 6, 8, 9, 13, 16, 19, 20, 23, 26, 28, 33, 35, 36, 37, 38, 39, 43}",20,123,3,-6
36,"{0, 2, 3, 4, 5, 6, 7, 11, 13, 14, 16, 17, 18, 20, 22, 24, 27, 29, 33, 36}",20,102,3,-6
47,"{0, 2, 38, 7, 40, 9, 41, 11, 43, 47, 22, 26, 28, 29, 31}",15,276,6,-6
29,"{0, 2, 4, 6, 7, 13, 14, 15, 18, 19, 22, 24, 25, 29}",14,81,3,-6
27,"{0, 1, 2, 3, 4, 5, 7, 11, 12, 13, 17, 18, 23, 27}",14,102,4,-6
9,"{0, 1, 2, 3, 9}",5,12,2,-6
41,"{0, 1, 2, 3, 37, 6, 41, 10, 11, 12, 16, 17, 24, 27, 28, 30, 31}",17,158,4,-6
39,"{0, 2, 3, 5, 9, 11, 13, 14, 15, 19, 21, 24, 26, 27, 28, 31, 33, 36, 39}",19,72,2,-6
23,"{0, 1, 5, 7, 11, 13, 14, 16, 17, 23}",10,86,4,-6
20,"{0, 3, 4, 6, 7, 8, 9, 11, 12, 14, 15, 17, 20}",13,34,2,-6
15,"{0, 3, 8, 14, 15}",5,84,6,-6
42,"{0, 1, 4, 36, 39, 42, 11, 14, 28, 29, 31}",11,204,5,-6
15,"{0, 3, 6, 8, 10, 11, 12, 15}",8,24,2,-6
33,"{0, 1, 2, 3, 4, 5, 33, 7, 10, 11, 16, 20, 23, 25, 26, 28}",16,93,3,-6
20,"{0, 1, 2, 3, 4, 6, 9, 10, 12, 14, 16, 20}",12,34,2,-6
8,"{0, 1, 3, 8}",4,10,2,-6
24,"{0, 1, 2, 3, 15, 16, 18, 19, 24}",9,90,4,-6
45,"{0, 3, 6, 7, 9, 10, 11, 12, 13, 16, 18, 20, 21, 22, 24, 29, 30, 33, 34, 35, 37, 38, 39, 40, 41, 42, 45}",27,84,2,-6
23,"{0, 1, 2, 3, 5, 7, 8, 11, 13, 16, 19, 23}",12,40,2,-6
22,"{0, 1, 4, 7, 11, 13, 14, 16, 19, 22}",10,82,4,-6
42,"{0, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 21, 23, 24, 26, 28, 30, 31, 34, 35, 37, 42}",28,78,2,-6
10,"{0, 1, 3, 4, 10}",5,14,2,-6
44,"{0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 25, 26, 27, 30, 31, 32, 33, 35, 37, 39, 44}",32,126,3,-6
31,"{0, 3, 5, 6, 7, 8, 9, 10, 12, 13, 23, 25, 26, 27, 31}",15,87,3,-6
21,"{0, 1, 2, 7, 8, 15, 16, 21}",8,78,4,-6
30,"{0, 2, 3, 5, 11, 12, 13, 15, 16, 17, 18, 22, 24, 25, 30}",15,84,3,-6
16,"{0, 4, 5, 6, 9, 10, 11, 13, 16}",9,26,2,-6
34,"{0, 1, 2, 3, 5, 7, 11, 12, 13, 14, 17, 18, 19, 20, 22, 23, 26, 28, 31, 34}",20,62,2,-6
30,"{0, 2, 7, 10, 11, 14, 16, 17, 20, 22, 23, 27, 30}",13,114,4,-6
41,"{0, 2, 5, 6, 11, 13, 15, 16, 18, 19, 20, 21, 22, 23, 26, 27, 28, 30, 33, 35, 39, 41}",22,117,3,-6
12,"{0, 1, 4, 9, 12}",5,42,4,-6
37,"{0, 2, 4, 5, 6, 7, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 26, 29, 32, 33, 37}",23,105,3,-6
8,"{0, 1, 3, 8}",4,10,2,-6
24,"{0, 2, 3, 5, 7, 8, 11, 14, 16, 18, 19, 24}",12,42,2,-6
45,"{0, 5, 6, 7, 8, 13, 16, 17, 21, 22, 23, 24, 27, 30, 35, 36, 37, 39, 40, 43, 45}",21,84,2,-6
37,"{0, 32, 4, 36, 37, 8, 9, 10, 13, 14, 15, 17, 26, 31}",14,142,4,-6
